month_pos,month_idx,trade_idx,date,datetime,balance
0.045455,1,1,2025-01-02,2025-01-02 16:07:12,10299.53
0.090909,1,2,2025-01-06,2025-01-06 13:13:53,10605.05
0.136364,1,3,2025-01-06,2025-01-06 13:15:36,10499.22
0.181818,1,4,2025-01-06,2025-01-06 13:22:38,10395.38
0.227273,1,5,2025-01-06,2025-01-06 13:31:38,10293.54
0.272727,1,6,2025-01-06,2025-01-06 16:16:40,10606.65
0.318182,1,7,2025-01-07,2025-01-07 17:02:03,10924.16
0.363636,1,8,2025-01-10,2025-01-10 15:33:19,11247.65
0.409091,1,9,2025-01-13,2025-01-13 23:49:35,11135.82
0.454545,1,10,2025-01-14,2025-01-14 14:19:14,11026.00
0.5,1,11,2025-01-14,2025-01-14 18:16:38,11355.48
0.545455,1,12,2025-01-20,2025-01-20 15:31:38,11690.96
0.590909,1,13,2025-01-21,2025-01-21 02:10:32,11575.14
0.636364,1,14,2025-01-21,2025-01-21 18:29:13,11916.60
0.681818,1,15,2025-01-23,2025-01-23 09:10:23,11798.79
0.727273,1,16,2025-01-23,2025-01-23 17:22:33,11680.97
0.772727,1,17,2025-01-24,2025-01-24 10:12:16,12028.43
0.818182,1,18,2025-01-24,2025-01-24 14:54:23,11908.62
0.863636,1,19,2025-01-27,2025-01-27 14:54:15,12262.06
0.909091,1,20,2025-01-28,2025-01-28 01:35:13,12627.49
0.954545,1,21,2025-01-30,2025-01-30 15:57:28,12501.69
1,1,22,2025-01-31,2025-01-31 23:10:35,12873.11
1.066667,2,23,2025-02-03,2025-02-03 10:00:34,12745.31
1.133333,2,24,2025-02-03,2025-02-03 17:23:29,13122.72
1.2,2,25,2025-02-03,2025-02-03 23:41:27,13512.11
1.266667,2,26,2025-02-05,2025-02-05 09:26:17,13913.48
1.333333,2,27,2025-02-07,2025-02-07 15:30:03,13775.70
1.4,2,28,2025-02-07,2025-02-07 19:18:34,14183.06
1.466667,2,29,2025-02-13,2025-02-13 13:48:29,14042.98
1.533333,2,30,2025-02-13,2025-02-13 15:30:39,13902.90
1.6,2,31,2025-02-14,2025-02-14 14:06:25,13765.11
1.666667,2,32,2025-02-20,2025-02-20 21:48:26,14172.48
1.733333,2,33,2025-02-24,2025-02-24 00:01:13,14032.70
1.8,2,34,2025-02-24,2025-02-24 04:41:36,14452.04
1.866667,2,35,2025-02-25,2025-02-25 10:01:38,14308.26
1.933333,2,36,2025-02-26,2025-02-26 19:30:04,14733.60
2,2,37,2025-02-27,2025-02-27 15:57:52,15170.92
2.04,3,38,2025-03-03,2025-03-03 11:55:12,15021.15
2.08,3,39,2025-03-04,2025-03-04 13:52:15,15470.45
2.12,3,40,2025-03-04,2025-03-04 17:00:27,15316.69
2.16,3,41,2025-03-04,2025-03-04 17:20:29,15164.92
2.2,3,42,2025-03-04,2025-03-04 20:12:15,15614.22
2.24,3,43,2025-03-05,2025-03-05 09:56:38,16081.49
2.28,3,44,2025-03-05,2025-03-05 12:26:28,15921.74
2.32,3,45,2025-03-05,2025-03-05 16:29:29,16395.00
2.36,3,46,2025-03-06,2025-03-06 17:03:42,16880.24
2.4,3,47,2025-03-07,2025-03-07 13:42:59,16712.51
2.44,3,48,2025-03-07,2025-03-07 20:15:26,16546.37
2.48,3,49,2025-03-10,2025-03-10 09:53:05,16382.62
2.52,3,50,2025-03-11,2025-03-11 07:44:32,16220.87
2.56,3,51,2025-03-12,2025-03-12 14:09:35,16059.13
2.6,3,52,2025-03-13,2025-03-13 08:38:41,15899.38
2.64,3,53,2025-03-14,2025-03-14 09:44:41,15741.62
2.68,3,54,2025-03-14,2025-03-14 12:45:27,16208.89
2.72,3,55,2025-03-18,2025-03-18 10:00:52,16694.13
2.76,3,56,2025-03-19,2025-03-19 09:43:03,17191.36
2.8,3,57,2025-03-20,2025-03-20 11:25:31,17700.56
2.84,3,58,2025-03-21,2025-03-21 13:50:00,17524.84
2.88,3,59,2025-03-24,2025-03-24 18:41:24,18046.02
2.92,3,60,2025-03-25,2025-03-25 10:06:28,17866.30
2.96,3,61,2025-03-27,2025-03-27 00:28:37,18399.47
3,3,62,2025-03-28,2025-03-28 16:21:36,18944.62
3.018182,4,63,2025-04-02,2025-04-02 17:47:41,18756.91
3.036364,4,64,2025-04-02,2025-04-02 23:11:39,18571.20
3.054545,4,65,2025-04-03,2025-04-03 09:34:19,19122.34
3.072727,4,66,2025-04-03,2025-04-03 13:05:30,19685.86
3.090909,4,67,2025-04-03,2025-04-03 13:12:14,19491.16
3.109091,4,68,2025-04-03,2025-04-03 14:05:39,20069.86
3.127273,4,69,2025-04-03,2025-04-03 14:48:12,19870.97
3.145455,4,70,2025-04-03,2025-04-03 16:15:29,19674.47
3.163636,4,71,2025-04-04,2025-04-04 10:37:26,19478.78
3.181818,4,72,2025-04-04,2025-04-04 11:00:30,19285.88
3.2,4,73,2025-04-04,2025-04-04 13:24:27,19094.18
3.218182,4,74,2025-04-04,2025-04-04 15:27:15,18905.88
3.236364,4,75,2025-04-04,2025-04-04 16:18:38,18718.67
3.254545,4,76,2025-04-07,2025-04-07 08:58:20,19266.81
3.272727,4,77,2025-04-07,2025-04-07 18:00:29,19841.91
3.290909,4,78,2025-04-08,2025-04-08 05:37:41,20434.99
3.309091,4,79,2025-04-08,2025-04-08 12:24:40,21046.03
3.327273,4,80,2025-04-08,2025-04-08 13:31:41,20836.36
3.345455,4,81,2025-04-08,2025-04-08 16:41:46,20628.68
3.363636,4,82,2025-04-08,2025-04-08 17:22:26,20423.00
3.381818,4,83,2025-04-09,2025-04-09 07:26:19,20221.82
3.4,4,84,2025-04-09,2025-04-09 08:36:56,20022.33
3.418182,4,85,2025-04-09,2025-04-09 10:41:01,19823.14
3.436364,4,86,2025-04-09,2025-04-09 15:33:35,19627.35
3.454545,4,87,2025-04-09,2025-04-09 20:02:37,20214.43
3.472727,4,88,2025-04-09,2025-04-09 20:24:24,20014.74
3.490909,4,89,2025-04-10,2025-04-10 10:44:15,20613.81
3.509091,4,90,2025-04-10,2025-04-10 15:19:38,21230.84
3.527273,4,91,2025-04-10,2025-04-10 22:21:38,21021.17
3.545455,4,92,2025-04-11,2025-04-11 01:47:35,21650.19
3.563636,4,93,2025-04-11,2025-04-11 08:37:36,21434.52
3.581818,4,94,2025-04-11,2025-04-11 10:07:02,21224.85
3.6,4,95,2025-04-11,2025-04-11 10:55:39,21014.48
3.618182,4,96,2025-04-14,2025-04-14 09:33:57,20805.81
3.636364,4,97,2025-04-14,2025-04-14 16:09:34,21436.82
3.654545,4,98,2025-04-15,2025-04-15 10:03:18,21222.95
3.672727,4,99,2025-04-15,2025-04-15 10:25:36,21011.28
3.690909,4,100,2025-04-15,2025-04-15 11:01:30,20801.61
3.709091,4,101,2025-04-15,2025-04-15 14:40:29,21418.65
3.727273,4,102,2025-04-15,2025-04-15 19:43:04,22070.33
3.745455,4,103,2025-04-16,2025-04-16 08:02:37,22729.30
3.763636,4,104,2025-04-16,2025-04-16 08:56:35,22503.65
3.781818,4,105,2025-04-17,2025-04-17 11:01:14,22280.00
3.8,4,106,2025-04-21,2025-04-21 02:50:24,22944.96
3.818182,4,107,2025-04-21,2025-04-21 17:46:17,22717.32
3.836364,4,108,2025-04-22,2025-04-22 05:23:01,22491.67
3.854545,4,109,2025-04-22,2025-04-22 06:03:18,22268.02
3.872727,4,110,2025-04-22,2025-04-22 15:24:27,22919.80
3.890909,4,111,2025-04-23,2025-04-23 00:35:20,23599.14
3.909091,4,112,2025-04-23,2025-04-23 16:47:26,23364.31
3.927273,4,113,2025-04-25,2025-04-25 06:59:28,23132.67
3.945455,4,114,2025-04-25,2025-04-25 13:22:37,22903.03
3.963636,4,115,2025-04-28,2025-04-28 17:40:23,23585.96
3.981818,4,116,2025-04-29,2025-04-29 09:18:39,23352.32
4,4,117,2025-04-29,2025-04-29 15:57:37,23120.69
4.047619,5,118,2025-05-02,2025-05-02 12:38:56,22891.05
4.095238,5,119,2025-05-05,2025-05-05 09:54:05,22663.40
4.142857,5,120,2025-05-05,2025-05-05 14:00:40,22437.75
4.190476,5,121,2025-05-06,2025-05-06 22:43:18,22214.10
4.238095,5,122,2025-05-07,2025-05-07 23:04:22,22879.06
4.285714,5,123,2025-05-08,2025-05-08 04:51:38,22651.42
4.333333,5,124,2025-05-08,2025-05-08 15:14:52,22425.77
4.380952,5,125,2025-05-08,2025-05-08 18:49:30,23096.72
4.428571,5,126,2025-05-12,2025-05-12 10:02:39,23785.65
4.47619,5,127,2025-05-13,2025-05-13 18:23:30,24492.54
4.52381,5,128,2025-05-14,2025-05-14 12:20:37,25223.40
4.571429,5,129,2025-05-16,2025-05-16 19:05:28,25978.22
4.619048,5,130,2025-05-19,2025-05-19 04:34:22,25720.62
4.666667,5,131,2025-05-19,2025-05-19 10:34:15,26487.42
4.714286,5,132,2025-05-21,2025-05-21 04:02:05,27278.19
4.761905,5,133,2025-05-23,2025-05-23 14:23:05,28092.91
4.809524,5,134,2025-05-23,2025-05-23 14:44:39,27813.35
4.857143,5,135,2025-05-27,2025-05-27 10:52:37,28646.05
4.904762,5,136,2025-05-29,2025-05-29 02:32:40,29502.71
4.952381,5,137,2025-05-29,2025-05-29 15:48:38,30383.33
5,5,138,2025-05-30,2025-05-30 04:20:25,30081.80
5.055556,6,139,2025-06-02,2025-06-02 10:50:14,30980.40
5.111111,6,140,2025-06-03,2025-06-03 02:36:35,30672.88
5.166667,6,141,2025-06-04,2025-06-04 13:11:34,30367.36
5.222222,6,142,2025-06-10,2025-06-10 16:07:16,30065.83
5.277778,6,143,2025-06-11,2025-06-11 19:33:23,30964.42
5.333333,6,144,2025-06-12,2025-06-12 12:53:29,31886.98
5.388889,6,145,2025-06-13,2025-06-13 02:48:01,31569.48
5.444444,6,146,2025-06-13,2025-06-13 13:37:22,31255.97
5.5,6,147,2025-06-13,2025-06-13 18:35:28,32190.51
5.555556,6,148,2025-06-16,2025-06-16 16:06:57,33149.01
5.611111,6,149,2025-06-17,2025-06-17 15:30:38,32819.52
5.666667,6,150,2025-06-17,2025-06-17 20:10:38,33801.99
5.722222,6,151,2025-06-18,2025-06-18 18:29:18,33464.51
5.777778,6,152,2025-06-19,2025-06-19 04:57:34,34481.32
5.833333,6,153,2025-06-19,2025-06-19 19:01:16,34137.86
5.888889,6,154,2025-06-23,2025-06-23 12:09:40,33798.39
5.944444,6,155,2025-06-23,2025-06-23 17:20:17,34804.82
6,6,156,2025-06-30,2025-06-30 18:46:27,35841.20
6.055556,7,157,2025-07-01,2025-07-01 10:03:15,35483.76
6.111111,7,158,2025-07-01,2025-07-01 12:31:38,35130.31
6.166667,7,159,2025-07-01,2025-07-01 19:04:38,36178.67
6.222222,7,160,2025-07-02,2025-07-02 14:39:59,35819.23
6.277778,7,161,2025-07-03,2025-07-03 15:30:36,35461.79
6.333333,7,162,2025-07-08,2025-07-08 10:42:04,35108.34
6.388889,7,163,2025-07-09,2025-07-09 14:56:15,34758.89
6.444444,7,164,2025-07-15,2025-07-15 17:23:39,35795.27
6.5,7,165,2025-07-16,2025-07-16 14:55:12,35439.83
6.555556,7,166,2025-07-17,2025-07-17 15:30:30,36500.17
6.611111,7,167,2025-07-22,2025-07-22 16:10:39,36136.74
6.666667,7,168,2025-07-24,2025-07-24 15:42:29,35777.30
6.722222,7,169,2025-07-25,2025-07-25 09:35:56,35421.85
6.777778,7,170,2025-07-28,2025-07-28 10:31:41,36482.20
6.833333,7,171,2025-07-28,2025-07-28 18:48:36,37572.49
6.888889,7,172,2025-07-29,2025-07-29 09:57:54,38692.74
6.944444,7,173,2025-07-30,2025-07-30 15:33:25,39848.93
7,7,174,2025-07-30,2025-07-30 21:00:28,39451.55
7.083333,8,175,2025-08-01,2025-08-01 15:31:16,39058.17
7.166667,8,176,2025-08-05,2025-08-05 03:03:04,38668.78
7.25,8,177,2025-08-06,2025-08-06 13:08:41,39824.97
7.333333,8,178,2025-08-07,2025-08-07 10:52:03,39427.59
7.416667,8,179,2025-08-07,2025-08-07 17:08:36,40607.75
7.5,8,180,2025-08-12,2025-08-12 18:26:28,41823.85
